BLZ;Institutsname;BIC
25862292;Volksbank Uelzen-Salzwedel;GENODEF1EUB
25863489;VB Osterbg-Lüchow-Dannenbg;GENODEF1WOT
25891483;VB Osterbg-Lüchow-Dannenbg;GENODEF1LCH
25891636;VB Lüneburger Heide -alt-;GENODEF1SOL
25910111;SEB Hildesheim;ESSEDE5F259
25940033;Commerzbank Hildesheim;COBADEFFXXX
25950001;St Spk Hildesheim -alt-;NOLADE21HIS
25950130;Sparkasse Hildesheim;NOLADE21HIK
25970024;Deutsche Bank PGK Hildeshei;DEUTDEDB259
25970074;Deutsche Bank Hildesheim;DEUTDE2H259
25971024;Deutsche Bank PGK Alfeld;DEUTDEDB253
25971071;Deutsche Bank Alfeld Leine;DEUTDE2H253
25980027;Commerzbank Hildesheim;DRESDEFF259
25990011;Volksbank Hildesheim;GENODEF1HIH
25991528;VB Hildesheimer Börde;GENODEF1SLD
26000000;BBk Göttingen;MARKDEF1260
26010111;SEB Göttingen;ESSEDE5F260
26040030;Commerzbank Göttingen;COBADEFFXXX
26050001;Sparkasse Göttingen;NOLADE21GOE
26051260;Sparkasse Duderstadt;NOLADE21DUD
26051450;Kr u St Spk Münden;NOLADE21HMU
26061291;Volksbank Mitte;GENODEF1DUD
26061556;Volksbank Adelebsen;GENODEF1ADE
26062433;VR-Bank in Südniedersachsen;GENODEF1DRA
26070024;Deutsche Bank PGK Göttingen;DEUTDEDB260
26070072;Deutsche Bank Göttingen;DEUTDE2H260
26080024;Commerzbank Göttingen;DRESDEFF260
26090050;Volksbank Göttingen;GENODEF1GOE
26240039;Commerzbank Northeim Han;COBADEFFXXX
26250001;Kr Spk Northeim;NOLADE21NOM
26251425;Sparkasse Einbeck;NOLADE21EIN
26261396;Volksbank Dassel -alt-;GENODEF1VDA
26261492;Volksbank Einbeck;GENODEF1EIN
26261693;Volksbank Solling Hardegsen;GENODEF1HDG
26271424;Deutsche Bank PGK Einbeck;DEUTDEDB262
26271471;Deutsche Bank Einbeck;DEUTDE2H262
26280020;Commerzbank Northeim Han;DRESDEFF261
26281420;Commerzbank Einbeck;DRESDEFF262
26340056;Commerzbank Osterode Harz;COBADEFFXXX
26341072;Commerzbank Herzberg Harz;COBADEFFXXX
26350001;St Spk Osterode;NOLADE21OHA
26351015;Sparkasse Osterode am Harz;NOLADE21HZB
26351445;St Spk Bad Sachsa;NOLADE21SAC
26361299;Volksbank Oberharz -alt-;GENODEF1GOH
26500000;BBk Osnabrück;MARKDEF1265
26510111;SEB Osnabrück;ESSEDE5F265
26520017;Oldb Landesbank Osnabrück;OLBODEH2XXX
26521703;Oldb Landesbank Bramsche;OLBODEH2XXX
26522319;Oldb Landesbank Quakenbrück;OLBODEH2XXX
26540070;Commerzbank Osnabrück;COBADEFFXXX
26550105;Sparkasse Osnabrück;NOLADE22XXX
26551540;Kr Spk Bersenbrück;NOLADE21BEB
26552286;Kreissparkasse Melle;NOLADE21MEL
26560625;apoBank Osnabrück;DAAEDED1025
26562490;VB Laer-Borgl-Hilter-Melle;GENODEF1HTR
26562694;VB Wittlage Bohmte -alt-;GENODEF1WTB
26563960;VB Bramgau-Wittlage;GENODEF1WHO
26565928;VB GMHütte-Hagen-Bissendorf;GENODEF1HGM
26566939;VB Osnabrücker Nd;GENODEF1MRZ
26567943;VR-Bank i.Altkr.Bersenbrück;GENODEF1NOP
26570024;Deutsche Bank PGK Osnabrück;DEUTDEDB265
26570090;Deutsche Bank Osnabrück;DEUTDE3B265
26580070;Commerzbank Osnabrück;DRESDEFF265
26589210;Commerzbk ITGK Osnabrück;DRESDEFFI10
26590025;Volksbank Osnabrück;GENODEF1OSV
26620010;Oldb Landesbank Lingen;OLBODEH2XXX
26621413;Oldb Landesbank Meppen;OLBODEH2XXX
26640049;Commerzbank Lingen Ems;COBADEFFXXX
26650001;Spk Emsland;NOLADE21EMS
26660060;Volksbank Lingen Ems;GENODEF1LIG
26661380;Volksbank Haselünne;GENODEF1HLN
26661494;Emsländische VB Meppen;GENODEF1MEP
26661912;Volksbank Süd-Emsland -alt-;
26662932;Volksbank Lengerich;GENODEF1LEN
26691213;Volksbank Haren;GENODEF1HAR
26720028;Oldb Landesbank Nordhorn;OLBODEH2XXX
26740044;Commerzbank Nordhorn;COBADEFFXXX
26750001;Kr Spk Nordhorn;NOLADE21NOH
26760005;Raiff- u VB Nordhorn -alt-;GENODEF1NDH
26770024;Deutsche Bank PGK Nordhorn;DEUTDEDB267
26770095;Deutsche Bank Nordhorn;DEUTDE3B267
26840032;Commerzbank Goslar;COBADEFFXXX
26850001;Sparkasse Goslar/Harz;NOLADE21GSL
26851410;Kr Spk Clausthal-Zellerfeld;NOLADE21CLZ
26851620;Sparkasse Salzgitter;NOLADE21SZG
26870024;Deutsche Bank PGK Goslar;DEUTDEDB268
26870032;Deutsche Bank Goslar;DEUTDE2H268
26880063;Commerzbank Goslar;DRESDEFF268
26890019;Volksbank Nordharz;GENODEF1VNH
26891484;Volksbank im Harz;GENODEF1OHA
26941053;Commerzbank Wolfsburg;COBADEFFXXX
26951311;Spk Gifhorn-Wolfsburg;NOLADE21GFW
26971024;Deutsche Bank PGK Wolfsburg;DEUTDEDB269
26971038;Deutsche Bank Wolfsburg;DEUTDE2H269
26981062;Commerzbank Wolfsburg;DRESDEFF269
26989221;Commerzbk ITGK Wolfsburg;DRESDEFFI11
26991066;Volksbank Brawo;GENODEF1WOB
27010111;SEB Braunschweig;ESSEDE5F270
27010200;VON ESSEN Bank Braunschweig;VONEDE33BRA
27020000;Volkswagen Bank Braunschwg;VOWADE2BXXX
27020001;Audi Bank Braunschweig;AUDFDE21XXX
27020003;Skoda Bank;SKODDE21XXX
27020004;AutoEuropa Bank;ECBKDE21XXX
27020800;Seat Bank Braunschweig;SEATDE21XXX
27032500;Seeligerbank Wolfenbüttel;BCLSDE21XXX
27040080;Commerzbank Braunschweig;COBADEFFXXX
27062290;Volksbank Börßum-Hornburg;GENODEF1BOH
27070024;Deutsche Bank PGK Braunschw;DEUTDEDB270
27070030;Deutsche Bank Braunschweig;DEUTDE2H270
27070031;Deutsche Bank Gifhorn;DEUTDE2H271
27070034;Deutsche Bank Osterode Harz;DEUTDE2H274
27070041;Deutsche Bank Bad Sachsa;DEUTDE2H279
27070042;Deutsche Bank Bad Harzburg;DEUTDE2H272
27070043;Deutsche Bank Helmstedt;DEUTDE2H273
27070079;Deutsche Bank Peine;DEUTDE2H275
27072524;Deutsche Bank PGK Wolfenbüt;DEUTDEDB277
27072537;Deutsche Bank Wolfenbüttel;DEUTDE2H277
27072724;Deutsche Bank PGK Salzgitte;DEUTDEDB276
27072736;Deutsche Bank Salzgitter;DEUTDE2H276
27080060;Commerzbank Braunschweig;DRESDEFF270
27089221;Commerzbk ITGK Braunschwg;DRESDEFFI12
27090618;apoBank Braunschweig;DAAEDED1018
27090900;PSD Bank Braunschweig;GENODEF1P02
27092555;VB Wolfenbüttel-Salzgitter;GENODEF1WFV
27131300;Rautenschlein Schöningen;GENODEF1RTS
27190082;Volksbank Helmstedt;GENODEF1HMS
27240004;Commerzbank Holzminden;COBADEFFXXX
27290087;VB Weserbergland Holzminden;GENODEF1HMV
27893215;Vereinigte Volksbank -alt-;GENODEF1BHA
27893359;Volksbank Braunlage;GENODEF1BLG
27893760;Volksbank Seesen;GENODEF1SES
28000000;BBk Oldenburg;MARKDEF1280
28010111;SEB Oldenburg;ESSEDE5F280
28020050;Oldb Landesbank Oldenburg;OLBODEH2XXX
28021002;Oldb Landesbank Brake;OLBODEH2XXX
28021301;Oldb Ldbank Bad Zwischenahn;OLBODEH2XXX
28021504;Oldb Landesbank Cloppenburg;OLBODEH2XXX
28021623;Oldb Landesbank Damme;OLBODEH2XXX
28021705;Oldb Landesbank Delmenhorst;OLBODEH2XXX
28021906;Oldb Landesbank Elsfleth;OLBODEH2XXX
28022015;Oldb Landesbank Nordenham;OLBODEH2XXX
28022412;Oldb Landesbank Löningen;OLBODEH2XXX
28022511;Oldb Landesbank Lohne;OLBODEH2XXX
28022620;Oldb Landesbank Rastede;OLBODEH2XXX
28022822;Oldb Landesbank Vechta;OLBODEH2XXX
28023224;Oldb Landesbank Westerstede;OLBODEH2XXX
28023325;Oldb Ldbank Wildeshausen;OLBODEH2XXX
28030300;W. Fortmann & Söhne;FORTDEH4XXX
28040046;Commerzbank Oldenburg;COBADEFFXXX
28042865;Commerzbank Vechta;COBADEFFXXX
28050100;Landessparkasse Oldenburg;BRLADE21LZO
28060228;Raiffbk Oldenburg;GENODEF1OL2
28061410;Raiffbk Wesermarsch-Süd;GENODEF1BRN
28061501;Volksbank Cloppenburg;GENODEF1CLP
28061679;Volksbank Dammer Berge;GENODEF1DAM
28061822;Volksbank Oldenburg;GENODEF1EDE
28062165;Raiffeisenbank Rastede;GENODEF1RSE
28062249;Volksbank Ganderkesee-Hude;GENODEF1HUD
28062560;Volksbank Lohne-Mühlen;GENODEF1LON
28062740;VB Bookholzberg-Lemwerder;GENODEF1GBH
28062913;Volksbank Bösel;GENODEF1BSL
28063253;Volksbank Westerstede;GENODEF1WRE
28063526;VB Essen-Cappeln;GENODEF1ESO
28063607;Volksbank Bakum;GENODEF1BAM
28064179;Volksbank Vechta;GENODEF1VEC
28064241;Raiff-VB Varel-Nordenham;GENODEF1NHE
28065061;Volksbank Löningen;GENODEF1LOG
28065108;VR-Bank Dinklage-Steinfeld;GENODEF1DIK
28065286;Raiffeisenbank Scharrel;GENODEF1SAN
28066103;Volksbank Visbek;GENODEF1VIS
28066214;VB Wildeshauser Geest;GENODEF1WDH
28066620;Spar-u Darlehnskasse;GENODEF1FOY
28067068;VB Neuenkirchen-Vörden;GENODEF1NEO
28067170;VB Delmenhorst Schierbrok;GENODEF1GSC
28067257;Volksbank Lastrup;GENODEF1LAP
28068218;Raiffbk Butjadingen-Abbehsn;GENODEF1BUT
28069052;Raiffbk Strückl.-Idafehn;GENODEF1ORF
28069092;VR Bank Oldenburg Land West;GENODEF1HAT
28069109;Volksbank Emstek;GENODEF1EMK
28069128;Raiffeisenbank Garrel;GENODEF1GRR
28069138;VR Bank Oldenburg Land West;GENODEF1VAG
28069293;VB Obergrafschaft -alt-;GENODEF1BBH
28069381;Hümmlinger Volksbank;GENODEF1WLT
28069706;Volksbank Nordhümmling;GENODEF1BOG
28069755;Raiffeisenbank Oldersum;GENODEF1MLO
28069773;Raiffbk Wiesederm-Wiesede-M;GENODEF1WWM
28069878;Raiffbk Emsland-Mitte;GENODEF1KBL
28069926;VB Niedergrafschaft;GENODEF1HOO
28069930;VB Langen-Gersten;GENODEF1LAG
28069935;Raiffeisenbank Lorup;GENODEF1LRU
28069955;Volksbank Uelsen;GENODEF1UEL
28069956;Grafschafter Volksbank;GENODEF1NEV
28069991;Volksbank Emstal;GENODEF1LTH
28069994;Volksbank Süd-Emsland;GENODEF1SPL
28070024;Deutsche Bank PGK Oldenburg;DEUTDEDB280
28070057;Deutsche Bank Oldenburg;DEUTDEHB280
28090633;apoBank Oldenburg;DAAEDED1033
28220026;Oldb Ldbank Wilhelmshaven;OLBODEH2XXX
28222208;Oldb Landesbank Jever;OLBODEH2XXX
28222621;Oldb Landesbank Varel;OLBODEH2XXX
28240023;Commerzbank Wilhelmshaven;COBADEFFXXX
28250110;Sparkasse Wilhelmshaven;BRLADE21WHV
28252760;Kr Spk Wittmund;BRLADE21WTM
28262254;Volksbank Jever;GENODEF1JEV
28262673;Raiff-VB Varel-Nordenham;GENODEF1VAR
28270024;Deutsche Bank PGK Wilhelmsh;DEUTDEDB282
28270056;Deutsche Bank Wilhelmshaven;DEUTDEHB282
28280012;Commerzbank Wilhelmshaven;DRESDEFF282
28290063;Volksbank Wilhelmshaven;GENODEF1WHV
28291551;VB Esens;GENODEF1ESE
28320014;Oldb Landesbank Norden;OLBODEH2XXX
28321816;Oldb Landesbank Norderney;OLBODEH2XXX
28350000;Spk Aurich-Norden;BRLADE21ANO
28361592;Raiff-VB Fresena;GENODEF1MAR
28420007;Oldb Landesbank Emden;OLBODEH2XXX
28421030;Oldb Landesbank Aurich;OLBODEH2XXX
28440037;Commerzbank Emden;COBADEFFXXX
28450000;Sparkasse Emden;BRLADE21EMD
28470024;Deutsche Bank PGK Emden;DEUTDEDB284
28470091;Deutsche Bank Emden;DEUTDEHB284
28520009;Oldb Landesbank Leer;OLBODEH2XXX
28521518;Oldb Landesbank Papenburg;OLBODEH2XXX
28540034;Commerzbank Leer Ostfriesld;COBADEFFXXX
28550000;Sparkasse LeerWittmund;BRLADE21LER
28562297;RVB Aurich;GENODEF1UPL
28562716;Raiffbk Flachsmeer Westover;GENODEF1WEF
28562863;Raiffeisenbank Moormerland;GENODEF1HTL
28563749;Raiffeisenbank Moormerland;GENODEF1MML
28570024;Deutsche Bank PGK Leer;DEUTDEDB285
28570092;Deutsche Bank Leer;DEUTDEHB285
28590075;Ostfriesische VB Leer;GENODEF1LER
28591579;Volksbank Papenburg;GENODEF1PAP
28591654;Volksbank Westrhauderfehn;GENODEF1WRH
29000000;BBk Bremen;MARKDEF1290
29010111;SEB Bremen;ESSEDE5F290
29010400;Deutsche Schiffsbank Bremen;DESBDE22XXX
29020000;Bankhaus Neelmeyer Bremen;NEELDE22XXX
29020100;Bremer Kreditbank;BANVDEHBXXX
29020200;NF Bank Bremen;NFHBDE21XXX
29020400;Factoring Bank Bremen;DFABDE21XXX
29030400;Plumpbank Bremen;PLUMDE29XXX
29040060;Commerzbank CC Bremen;COBADEFFXXX
29040061;Commerzbank CC Bremen;COBADEFFXXX
29040090;Commerzbank Bremen;COBADEFFXXX
29050000;Bremer Landesbank Bremen;BRLADE22XXX
29050101;Spk Bremen;SBREDE22XXX
29070024;Deutsche Bank PGK Bremen;DEUTDEDBBRE
29070050;Deutsche Bank Bremen;DEUTDEHBXXX
29070051;Deutsche Bank Bremerhaven;DEUTDEHB292
29070052;Deutsche Bank Delmenhorst;DEUTDEHB294
29070058;Deutsche Bank Cloppenburg;DEUTDEHB293
29070059;Deutsche Bank Vechta;DEUTDEHB290
29080010;Commerzbank Bremen;DRESDEFF290
29089210;Commerzbank ITGK Bremen;DRESDEFFI13
29090605;apoBank Bremen;DAAEDED1005
29090900;PSD Bank Nord Bremen;GENODEF1P03
29121731;Oldb Landesbank Syke;OLBODEH2XXX
29151700;Kreissparkasse Syke;BRLADE21SYK
29152300;Kr Spk Osterholz;BRLADE21OHZ
29152550;Spk Scheeßel;BRLADE21SHL
29152670;Kr Spk Verden;BRLADE21VER
29162394;Volksbank;GENODEF1OHZ
29162453;Volksbank Schwanewede;GENODEF1SWW
29162697;Volksbank Aller-Weser;GENODEF1VER
29165545;Volksbank Oyten;GENODEF1OYT
29165681;Volksbank Sottrum;GENODEF1SUM
29166568;Volksbank Worpswede;GENODEF1WOP
29167624;Volksbank Syke;GENODEF1SHR
29172624;Deutsche Bank PGK Verden;DEUTDEDB291
29172655;Deutsche Bank Verden;DEUTDEHB291
29190024;Bremische Volksbank;GENODEF1HB1
29190330;Volksbank Bremen-Nord;GENODEF1HB2
29210111;SEB Bremerhaven;ESSEDE5F292
29240024;Commerzbank Bremerhaven;COBADEFFXXX
29250000;Weser-Elbe Sparkasse, BHV;BRLADE21BRS
29250150;Kr Spk Wesermünde-Hadeln;BRLADE21BRK
29262722;Volksbank Geeste-Nord;GENODEF1BRV
29265747;VB Bremerhaven-Cuxland;GENODEF1BEV
29280011;Commerzbank Bremerhaven;DRESDEFF292
29290034;VB Bremerh-Wesermünde -alt-;GENODEF1HBV
30000000;BBk Düsseldorf;MARKDEF1300
30010111;SEB Düsseldorf;ESSEDE5F300
30010400;IKB Düsseldorf;IKBDDEDDXXX
30010444;IKB Privatkunden Düsseldorf;IKBDDEDDDIR
30010700;BTMU Düsseldorf;BOTKDEDXXXX
30020500;BHF-BANK Düsseldorf;BHFBDEFF300
30020700;Mizuho Bank Düsseldorf;MHCBDEDDXXX
30020900;TARGOBANK Düsseldorf;CMCIDEDDXXX
30022000;NRW.BANK Düsseldorf;NRWBDEDMXXX
30025500;Portigon Düsseldorf;PORTDEDDXXX
30030100;S Broker Wiesbaden;PULSDEDDXXX
30030500;Bank11direkt Neuss;CUABDED1XXX
30030600;ETRIS Bank Wuppertal;ETRIDE31XXX
30030880;HSBC Trinkaus Düsseldorf;TUBDDEDDXXX
30030889;HSBC Trinkaus VAC;TUBDDEDDXXX
30030900;Merck Finck & Co Düsseldorf;MEFIDEMM300
30040000;Commerzbank Düsseldorf;COBADEDDXXX
30040048;Commerzbank DDF GF-D48;COBADEFFXXX
30040060;Commerzbank Gf 660 Düsseldf;COBADEFFXXX
30040061;Commerzbank Gf 661 Düsseldf;COBADEFFXXX
30040062;Commerzbank CC Düsseldorf;COBADEFFXXX
30040063;Commerzbank CC Düsseldorf;COBADEFFXXX
30050000;Ld Bk Hess-Thür, Gz, Dus;WELADEDDXXX
30050110;St Spk Düsseldorf;DUSSDEDDXXX
30060010;WGZ Bank Düsseldorf;GENODEDDXXX
30060601;apoBank Düsseldorf;DAAEDEDDXXX
30060992;PSD Bank Rhein-Ruhr;GENODEF1P05
30070010;Deutsche Bank Düsseldorf;DEUTDEDDXXX
30070024;Deutsche Bank PGK Düsseldor;DEUTDEDBDUE
30080000;Commerzbank Düsseldorf;DRESDEFF300
30080005;Commerzbank Düsseldorf 05;DRESDEFFXXX
30080022;Commerzbank Düsseldorf 22;DRESDEFFI28
30080038;Commerzbank Düsseldorf 38;DRESDEFFXXX
30080041;Commerzbank Düsseldorf 41;DRESDEFFI29
30080053;Commerzbank Düsseldorf 53;DRESDEFFI30
30080055;Commerzbk Zw55 Düsseldorf;DRESDEFF309
30080057;Commerzbk ZW57 Düsseldorf;DRESDEFF316
30080061;Commerzbank Düsseldorf 61;DRESDEFFI31
30080074;Commerzbank Düsseldorf 74;DRESDEFFI32
30080080;Commerzbank ITGK3 Ddrf.;DRESDEFFI76
30080081;Commerzbank ITGK4 Ddrf.;DRESDEFFI77
30080082;Commerzbank ITGK5 Ddrf.;DRESDEFFI78
30080083;Commerzbank ITGK6 Ddrf.;DRESDEFFI79
30080084;Commerzbank ITGK7 Ddrf.;DRESDEFFI80
30080085;Commerzbank ITGK8 Ddrf.;DRESDEFFI81
30080086;Commerzbank ITGK9 Ddrf.;DRESDEFFI82
30080087;Commerzbank ITGK10 Ddrf.;DRESDEFFI83
30080088;Commerzbank ITGK11 Ddrf.;DRESDEFFI84
30080089;Commerzbank ITGK12 Ddrf.;DRESDEFFI85
30080095;Commerzbank Düsseldorf 95;DRESDEFFI33
30089300;Commerzbk ITGK I Düsseldf;DRESDEFFI02
30089302;Commerzbk ITGK II Düsseld;DRESDEFFI03
30110300;SMBC Düsseldorf;SMBCDEDDXXX
30120500;Bremer Kreditbank;BANVDEHB300
30130100;Demir-Halk Bank Düsseldorf;DHBNDEDDXXX
30130200;GarantiBank Int Düsseldorf;UGBIDEDDXXX
30130600;Isbank Düsseldorf;ISBKDEFXDUS
30130800;Düsseldorfer Hypothekenbank;DHYPDEDDXXX
30150001;Helaba Dus, Gf Ver. FI-Dus;
30150200;Kr Spk Düsseldorf;WELADED1KSD
30160213;VB Düsseldorf Neuss;GENODED1DNE
30220190;UniCredit Bank-HypoVereinbk;HYVEDEMM414
30330800;BIW Bank;BIWBDE33303
30351220;St Spk Haan;WELADED1HAA
30520000;RCI Banque Ndl Deutschland;RCIDDE3NXXX
30520037;RCI Banque Direkt;RCIDDE3NPAY
30524400;KBC Bank Düsseldorf;KREDDEDDXXX
30530000;Bankhaus Werhahn Neuss;WERHDED1XXX
30530500;Bank11 Neuss;WEFZDED1XXX
30550000;Sparkasse Neuss;WELADEDNXXX
30551240;St Spk Kaarst Büttgen -alt-;WELADED1KST
30560090;Volksbank Neuss -alt-;GENODED1NSS
30560548;VR Bank Dormagen;GENODED1NLD
31010111;SEB Mönchengladbach;ESSEDE5F310
31010833;Santander Consumer Bank MG;CCBADE31XXX
31040015;Commerzbank Mönchengladbach;COBADEFFXXX
31040060;Commerzbank CC Mgladbach;COBADEFFXXX
31040061;Commerzbank CC Mgladbach;COBADEFFXXX
31050000;St Spk Mönchengladbach;MGLSDE33XXX
31060181;Gladbacher Bank von 1922;GENODED1GBM
31060517;VB Mönchengladbach;GENODED1MRB
31062154;Volksbank Brüggen-Nettetal;GENODED1KBN
31062553;Volksbank Schwalmtal;GENODED1NKR
31070001;Deutsche Bank Mönchengladb;DEUTDEDD310
31070024;Deutsche Bank PGK Mönchengl;DEUTDEDB310
31080015;Commerzbank Mönchengladb;DRESDEFF310
31080061;Commerzbank Mgladbach 61;DRESDEFFI34
31251220;Kr Spk Heinsberg Erkelenz;WELADED1ERK
31261282;Volksbank Erkelenz;GENODED1EHE
31263359;Raiffbk Erkelenz;GENODED1LOE
31460290;Volksbank Viersen;GENODED1VSN
31470004;Deutsche Bank Viersen;DEUTDEDD314
31470024;Deutsche Bank PGK Viersen;DEUTDEDB314
32040024;Commerzbank Krefeld;COBADEFFXXX
32050000;Sparkasse Krefeld;SPKRDE33XXX
32051996;Sparkasse Straelen;WELADED1STR
32060362;Volksbank Krefeld;GENODED1HTK
32061384;Volksbank an der Niers;GENODED1GDL
32061414;Volksbank Kempen-Grefrath;GENODED1KMP
32070024;Deutsche Bank PGK Krefeld;DEUTDEDB320
32070080;Deutsche Bank Krefeld;DEUTDEDD320
32080010;Commerzbank Krefeld;DRESDEFF320
32250050;Verb Spk Goch;WELADED1GOC
32440023;Commerzbank Kleve Niederrh;COBADEFFXXX
32450000;Sparkasse Kleve;WELADED1KLE
32460422;Volksbank Kleverland;GENODED1KLL
32470024;Deutsche Bank PGK Kleve;DEUTDEDB324
32470077;Deutsche Bank Kleve;DEUTDEDD324
33010111;SEB Wuppertal;ESSEDE5F330
33020000;akf bank Wuppertal;AKFBDE31XXX
33020190;UniCredit Bank-HypoVereinbk;HYVEDEMM809
33030000;GEFA Wuppertal;GGABDE31XXX
33040001;Commerzbank Wuppertal;COBADEFFXXX
33040310;Commerzbank Zw 117;COBADEDHXXX
33050000;St Spk Wuppertal;WUPSDE33XXX
33060098;Credit- u VB Wuppertal;GENODED1CVW
33060592;Sparda-Bank West;GENODED1SPW
33060616;apoBank Wuppertal;DAAEDED1016
33070024;Deutsche Bank PGK Wuppertal;DEUTDEDBWUP
33070090;Deutsche Bank Wuppertal;DEUTDEDWXXX
33080001;Commerzbank ITGK1 Wupptl.;DRESDEFFI86
33080030;Commerzbank Wuppertal;DRESDEFF332
33080085;Commerzbank ITGK2 Wupptl.;DRESDEFFI87
33080086;Commerzbank ITGK3 Wupptl.;DRESDEFFI88
33080087;Commerzbank ITGK4 Wupptl.;DRESDEFFI89
33080088;Commerzbank ITGK5 Wupptl.;DRESDEFFI90
33440035;Commerzbank Velbert;COBADEFFXXX
33450000;Sparkasse HRV;WELADED1VEL
33451220;Spk Heiligenhaus -alt-;WELADED1HGH
34040049;Commerzbank Remscheid;COBADEFFXXX
34050000;St Spk Remscheid;WELADEDRXXX
34051350;Spk Radevormwald-Hückeswgn;WELADED1RVW
34051570;St Spk Wermelskirchen;WELADED1WMK
34060094;Volksbank Remscheid-Solingn;VBRSDE33XXX
34070024;Deutsche Bank PGK Remscheid;DEUTDEDB340
34070093;Deutsche Bank Remscheid;DEUTDEDW340
34080031;Commerzbank Remscheid;DRESDEFF340
34240050;Commerzbank Solingen;COBADEFFXXX
34250000;St Spk Solingen;SOLSDE33XXX
34270024;Deutsche Bank PGK Solingen;DEUTDEDB342
34270094;Deutsche Bank Solingen;DEUTDEDW342
34280032;Commerzbank Solingen;DRESDEFF342
35010111;SEB Duisburg;ESSEDE5F350
35020030;National-Bank Duisburg -alt;NBAGDE3EXXX
35040038;Commerzbank Duisburg;COBADEFFXXX
35040085;Commerzbank Gf WK, Duisburg;COBADEFFXXX
35050000;Spk Duisburg;DUISDE33XXX
35060190;Bank für Kirche u Diakonie;GENODED1DKD
35060386;VB Rhein-Ruhr Duisburg;GENODED1VRR
35060632;apoBank Duisburg;DAAEDED1032
35070024;Deutsche Bank PGK Duisburg;DEUTDEDB350
35070030;Deutsche Bank Duisburg;DEUTDEDE350
35080070;Commerzbank Duisburg;DRESDEFF350
35080085;Commerzbank ITGK1 Duisb.;DRESDEFFI91
35080086;Commerzbank ITGK2 Duisb.;DRESDEFFI92
35080087;Commerzbank ITGK3 Duisb.;DRESDEFFI93
35080088;Commerzbank ITGK4 Duisb.;DRESDEFFI94
35080089;Commerzbank ITGK5 Duisb.;DRESDEFFI95
35090300;Bk f Schiffahrt Duisburg;GENODEF1BSD
35211012;SEB Dinslaken;ESSEDE5F352
35251000;Spk Dinslaken-Voerde-Hünxe;WELADED1DIN
35261248;Volksbank Dinslaken;GENODED1DLK
35450000;Sparkasse am Niederrhein;WELADED1MOR
35451460;Spk Neukirchen-Vluyn -alt-;WELADED1NVL
35451775;Spk Rheinberg -alt-;WELADED1RHB
35461106;Volksbank Niederrhein;GENODED1NRH
35640064;Commerzbank Wesel;COBADEFFXXX
35650000;Verb Spk Wesel;WELADED1WES
35660599;Volksbank Rhein-Lippe;GENODED1RLW
35850000;St Spk Emmerich-Rees;WELADED1EMR
35860245;Volksbank Emmerich-Rees;GENODED1EMR
36000000;BBk Essen;MARKDEF1360
36010043;Postbank Essen;PBNKDEFFXXX
36010111;SEB Essen;ESSEDE5F360
36010200;VON ESSEN Bankges Essen;VONEDE33XXX
36010424;Aareal Bank Essen;AARBDE5W360
36010600;NIBC Bank Deutschland;GABKDE31XXX
36010699;NIBC Bank Deutschland;GABKDE31699
36020030;National-Bank Essen;NBAGDE3EXXX
36020186;UniCredit Bank-HypoVereinbk;HYVEDEMM360
36033300;Santander Bank Essen;SCFBDE33XXX
36036000;VALBA;VABKDE3EXXX
36040039;Commerzbank Essen;COBADEFFXXX
36040060;Commerzbank CC Essen;COBADEFFXXX
36040061;Commerzbank CC Essen;COBADEFFXXX
36040085;Commerzbank Gf WK, Essen;COBADEFFXXX
36050105;Sparkasse Essen;SPESDE3EXXX
36060192;Pax-Bank Essen;GENODED1PA2
36060295;Bank im Bistum Essen;GENODED1BBE
36060488;GENO BANK ESSEN;GENODEM1GBE
36060591;Sparda-Bank West;GENODED1SPE
36060610;apoBank Essen;DAAEDED1010
36070024;Deutsche Bank PGK Essen;DEUTDEDBESS
36070050;Deutsche Bank Essen;DEUTDEDEXXX
36080080;Commerzbank Essen;DRESDEFF360
36080085;Commerzbank ITGK2 Essen;DRESDEFFI66
36089321;Commerzbank ITGK Essen;DRESDEFFI17
36210111;SEB Mülheim Ruhr;ESSEDE5F362
36220030;National-Bank Mülheim-alt-;NBAGDE3EXXX
36240045;Commerzbank Mülheim Ruhr;COBADEFFXXX
36250000;Spk Mülheim an der Ruhr;SPMHDE3EXXX
36270024;Deutsche Bank PGK Mülheim;DEUTDEDB362
36270048;Deutsche Bank Mülheim, Ruhr;DEUTDEDE362
36280071;Commerzbank Mülheim Ruhr;DRESDEFF362
36520030;National-Bank Oberhsn -alt-;NBAGDE3EXXX
36540046;Commerzbank Oberhausen;COBADEFFXXX
36550000;St Spk Oberhausen;WELADED1OBH
36570024;Deutsche Bank PGK Oberhause;DEUTDEDB365
36570049;Deutsche Bank Oberhausen;DEUTDEDE365
36580072;Commerzbank Oberhausen;DRESDEFF365
37000000;BBk Köln;MARKDEF1370
37010050;Postbank Köln;PBNKDEFFXXX
37010111;SEB Köln;ESSEDE5F370
37010600;BNP Paribas Ndl Deutschland;GEBADE33XXX
37010699;BNP Paribas Ndl Deutschland;GEBADE33XXX
37011000;Deutsche Postbank Easytrade;PBNKDEFFXXX
37013030;DPZ Bonn;DEZMDE31XXX
37020090;UniCredit Bank-HypoVereinbk;HYVEDEMM429
37020200;AXA Bank Köln;AXABDE31XXX
